trained_objective,step,checkpoint,evaluated_objective,center_loss,mean_abs_derivative,median_abs_derivative,derivative_std,near_zero_fraction,descent_fraction,curvature_mean,curvature_abs_mean,outcome_noise_proxy,snr_proxy,class_correlation,class_sign_agreement,class_conflict_rate,class_class0_mean_abs,class_class1_mean_abs
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,1.3074818011841398,0.20452963118115527,0.1597655521253749,0.2599884273199195,0.0,0.5625,0.045302727136546206,0.06048417001123388,0.22438654183163062,0.9115057860048708,-0.09461544094483182,0.46875,0.53125,0.26179950381385786,0.34054647219200584
PER_OUTCOME_ENSEMBLE_MMD,1,initial,COMBINED_ENSEMBLE_MMD,1.280555752093111,0.24995160434161343,0.21364564825501273,0.3152167037012906,0.0,0.53125,0.03315590809096011,0.0559620770892143,0.22438654183163062,1.1139331365477598,0.006894217945957033,0.46875,0.53125,0.3049078557745074,0.4001777464848557
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,0.4065377543668339,0.15470233099361802,0.12018796967520728,0.19363334955465147,0.0,0.0,0.5471433030254284,0.5471433030254284,0.18485037647541847,0.8369056852539895,-0.1298649015960046,0.4375,0.5625,0.2507359531867493,0.2472268488487678
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,0.36530601702553595,0.15309149742630107,0.14317238361945134,0.19317010762265668,0.0,0.0,0.5036643523217453,0.5036643523217453,0.18485037647541847,0.8281914289022791,-0.10130674186321957,0.5,0.5,0.2397711056256071,0.24591455062879192
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,0.3106159709101052,0.12350584847282911,0.0964948510704002,0.1501047631057148,0.0,0.0,0.631171611996376,0.631171611996376,0.19982130133089993,0.6180814940660705,-0.3377148924548607,0.4375,0.5625,0.22699323369865734,0.2043347849096538
PER_OUTCOME_ENSEMBLE_MMD,1,best,COMBINED_ENSEMBLE_MMD,0.2845265294993833,0.13913579511381372,0.13316881135015834,0.1664046404445971,0.0,0.0,0.5663546311877035,0.5663546311877035,0.19982130133089993,0.6963011159826635,-0.22208206702310812,0.46875,0.53125,0.23538836066743443,0.20711713718498143
PER_OUTCOME_ENSEMBLE_MMD,2,initial,PER_OUTCOME_ENSEMBLE_MMD,0.6368301394637581,0.10275126387470661,0.08131379694521157,0.12926619117311958,0.0,0.46875,0.03261780968956097,0.0337585453239116,0.06646788856941503,1.5458782592048101,-0.09523595625204553,0.4375,0.5625,0.1470070037277874,0.14817331693212799
PER_OUTCOME_ENSEMBLE_MMD,2,initial,COMBINED_ENSEMBLE_MMD,0.6171240937734894,0.12948496166070478,0.08578098692817579,0.16173203834542918,0.0,0.875,-0.0020968230009273253,0.01903028622000033,0.06646788856941503,1.948082968296466,0.06731817890697302,0.40625,0.59375,0.16265790160374857,0.18745829983575674
PER_OUTCOME_ENSEMBLE_MMD,2,intermediate,PER_OUTCOME_ENSEMBLE_MMD,0.5029674575216405,0.07654854309739527,0.07162612069198197,0.09251176446542154,0.0,0.0,0.10812135021420483,0.10812135021420483,0.08638654468763729,0.8861165054602546,-0.48381176048388197,0.34375,0.65625,0.1723349698381353,0.12532009163818297
PER_OUTCOME_ENSEMBLE_MMD,2,intermediate,COMBINED_ENSEMBLE_MMD,0.47665058312053327,0.10530558054956743,0.06039475461241081,0.13996991939570086,0.0,0.125,0.07981852578930601,0.07981852578930601,0.08638654468763729,1.2190044286449813,-0.2746823250569866,0.3125,0.6875,0.22607155783806598,0.15136411014717654
