trained_objective,step,checkpoint,evaluated_objective,direction,derivative,curvature,outcome_noise,class0_derivative,class1_derivative
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,0,0.023969133615377263,-0.04582332088078278,0.25342648019925573,-0.12395669152460043,0.1718949587553535
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,1,-0.138330794171313,0.11887330371361804,0.33814383971430073,-0.06951077549304834,-0.20715081284957693
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,2,-0.019356097494049873,0.054542148435930304,0.27078933651880055,0.15675924857943446,-0.1954714435675335
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,3,0.13928693799791264,0.03666954752382745,0.10479016450546222,0.3471825641360837,-0.06860868814025922
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,4,0.05194805342320382,0.004757929567265062,0.11097069314414032,-0.4316790245950072,0.5355751314414148
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,5,0.3359921145113772,0.048177451048248,0.22575166305534414,-0.06715454506281009,0.7391387740855645
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,6,0.005838465130055445,0.07582956388572493,0.17376694403714302,-0.3241443387041021,0.3358212689642115
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,7,-0.32946508888521986,0.036525814125480505,0.28068268460215123,-0.17109200441846126,-0.48783817335197766
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,8,0.16207909678120247,0.03042214653802544,0.21008228032378032,0.257106516447676,0.06705167711472892
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,9,-0.009202370399172082,0.11059354641550945,0.2135930826834455,0.08110463448980662,-0.09950937528815078
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,10,0.6664205277238189,-0.09616357512021212,0.31610834399222576,0.9053692038292901,0.427471851618347
PER_OUTCOME_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,11,-0.4668154333326206,-0.01548115189709609,0.17203957886701002,-0.11723101228802306,-0.8163998543772182
