alpha,final_mmd,final_physics_error,Mx_order,Mz2_order
0.0,0.9558266658860941,0.5935121984222911,False,True
0.1,0.9548692563622941,0.6043754259551788,False,True
0.25,0.9394178487556453,0.5716125298762278,True,True
0.5,0.9554086561024238,0.5794109240417624,True,True
0.75,0.971390705028464,0.6049356243473388,True,False
1.0,0.9582819322804446,0.593101591936732,False,True
