alpha,final_mmd,final_physics_error,Mx_order,Mz2_order
0.0,0.9839986089788995,0.6132687136221908,True,False
0.1,0.9764315472814984,0.5992467607451578,True,False
0.25,0.993706104833277,0.5959107892711633,True,False
0.5,0.9130046429216334,0.5795553390650274,True,True
0.75,0.9673251088701837,0.5759332034184879,True,False
1.0,1.0036756392552293,0.5932781860725937,True,False
