T,aggregate_mmd_to_haar,terminal_class_mmd,Mx_gap,Mz2_gap
1,0.0413554243773561,0.023980504658781016,-0.1406969422408966,0.06893503946655222
2,0.030672353366972258,0.018171162530300267,-0.08608247961255305,0.01661788476265713
3,0.028575746806718837,0.014451238584133885,-0.022534480397187116,0.02677073558775045
4,0.026607730829758466,0.015419654122407644,-0.04341786493425019,0.014066973907282954
5,0.029543878696214,0.013796178775856927,-0.007022423399476972,0.01141144416328449
