condition,domain,mode,step,aggregate_mmd,physics_error,Mx_order,Mz2_order
FIXED_ALL,seen,isolated,1,0.32835613585517187,0.32241361720597206,True,True
FIXED_ALL,seen,isolated,2,0.45147196633710934,0.19584628800306622,True,True
FIXED_ALL,seen,rollout,2,0.4510778800220653,0.19917983216454782,True,True
FIXED_ALL,seen,rollout,1,0.9057335405286223,0.5610115039786486,True,False
FIXED_ALL,unseen,isolated,1,0.5117841730754289,0.3951379136008125,True,True
FIXED_ALL,unseen,isolated,2,0.2530968012008013,0.35266725230874035,True,True
FIXED_ALL,unseen,rollout,2,0.25567405614071637,0.3546852108645411,True,True
FIXED_ALL,unseen,rollout,1,0.9358343609330739,0.5934354644572831,True,False
FIXED_ALL,validation,isolated,1,0.5247880945664973,0.23720277296988884,True,True
FIXED_ALL,validation,isolated,2,0.31257458434137153,0.30281344796357346,True,False
FIXED_ALL,validation,rollout,2,0.31500913631313954,0.3053862427127039,True,False
FIXED_ALL,validation,rollout,1,0.956042771871177,0.4353910991951613,True,True
RESAMPLED_CRN,seen,isolated,1,0.36093519394312334,0.3365031047884921,True,True
RESAMPLED_CRN,seen,isolated,2,0.3581627984689508,0.15946731067766684,True,True
RESAMPLED_CRN,seen,rollout,2,0.3723995656371716,0.15524985410216008,True,True
RESAMPLED_CRN,seen,rollout,1,0.8094989889065354,0.48002802935040595,True,True
RESAMPLED_CRN,unseen,isolated,1,0.5547723394604482,0.428575075848746,True,True
RESAMPLED_CRN,unseen,isolated,2,0.25952354330436567,0.3316316712711517,True,True
RESAMPLED_CRN,unseen,rollout,2,0.2643319174272147,0.3389233170419029,True,True
RESAMPLED_CRN,unseen,rollout,1,0.9116592159293527,0.5845682537601459,True,False
RESAMPLED_CRN,validation,isolated,1,0.5567369884999429,0.28320992926740923,True,True
RESAMPLED_CRN,validation,isolated,2,0.2997037232077704,0.3077458952107642,True,False
RESAMPLED_CRN,validation,rollout,2,0.2980257787730731,0.31057773854943327,True,False
RESAMPLED_CRN,validation,rollout,1,0.9093644283796485,0.4381908982817617,True,False
