class,domain,step,mmd,physics_error,Mx_error,Mz2_error,diversity,nearest_training_source_fidelity
0,seen,1,0.12069193827983105,0.13513921829497802,0.06696598866281707,0.20331244792713898,0.5556361331432462,0.6503242160146796
0,seen,2,0.29488081625222506,0.20891009152460427,0.12994359969541427,0.2878765833537943,0.2880283154952748,0.12453349889576922
0,unseen,1,0.45033219685399817,0.2857170287652698,0.14593357595483727,0.4255004815757023,0.27556632427973365,0.39214676604289345
0,unseen,2,0.23434108873387988,0.24219354245902747,0.1353914118131086,0.34899567310494634,0.11650525066850881,0.1374012697939822
0,validation,1,0.4879279631574056,0.3574739575567025,0.42909952993405315,0.28584838517935196,0.31151928998493367,0.3764202682868455
0,validation,2,0.2766068229850273,0.3404232341556913,0.285703063947465,0.3951434043639177,0.11164107844923325,0.11694043463588762
1,seen,1,0.31451592645692816,0.2294038468668892,0.3968998122539877,0.061907881479790705,0.3587702346969576,0.447242453430752
1,seen,2,0.16272788188815657,0.07086521525315317,0.08003339559196232,0.06169703491434403,0.3223995309176401,0.1458104099201889
1,unseen,1,0.6268050768804025,0.34042970740314354,0.5120996342663977,0.16875978053988938,0.2514198864811526,0.2720611442232742
1,unseen,2,0.2554610817701314,0.33334167032652634,0.5587797052580163,0.10790363539503633,0.10680176162487477,0.13791930774008626
1,validation,1,0.658538388545977,0.3211060909542951,0.4894025339296899,0.1528096479789003,0.316722399986225,0.269959007352725
1,validation,2,0.32549578027978454,0.28593358527266155,0.563948759988071,0.00791841055725201,0.11595256576014985,0.14040304707072537
