method,gradient_norm,weighted_cancellation_ratio,cosine_global,cosine_2rdm,cosine_physics,realization_mean,realization_median,realization_std,realization_min,realization_max,realization_negative_fraction,class_0_mean_cosine,class_1_mean_cosine,class_0_negative_fraction,class_1_negative_fraction
uniform,0.2525904580278312,0.2995179366081158,1.0000000000000002,0.6172946604429596,0.41383962597541285,0.2926496637222754,0.25134610870341145,0.21707392077756932,-0.04528141677500352,0.6987280666521818,0.125,0.343869900939551,0.24142942650499977,0.25,0.0
conflict_tau_0p5,0.2590871339935794,0.30759573745554597,0.9986345290669867,0.6188259434552563,0.40801304490593204,0.2941049514905814,0.2399916175111615,0.23196461351336858,-0.06489074504299165,0.726854797709462,0.125,0.3590898200862426,0.22912008289492025,0.25,0.0
physics_conflict_tau_0p5,0.5179747538542443,0.6238880735369134,0.44652866132265107,0.7137889567397766,0.8417131666277766,0.15322921576600465,-0.001557996782950273,0.4510663774945178,-0.4275345066194981,0.867501285658948,0.5,0.012697773787231623,0.2937606577447776,0.5,0.5
conflict_tau_1p0,0.2664855874720146,0.3167583039025153,0.9947236991931098,0.6181813784836485,0.40083149965423565,0.29472938100865276,0.2376711608327821,0.2468944708612735,-0.08303801612627074,0.7526038583091419,0.125,0.37306396195927644,0.21639480005802908,0.25,0.0
physics_conflict_tau_1p0,0.5171964300256139,0.6223884642100025,0.4571691836847476,0.7155755742111076,0.8387512585502356,0.15648567317128295,0.005461597914943862,0.44962244908831145,-0.4262740328176547,0.8650064762397128,0.5,0.021343135811952504,0.2916282105306134,0.5,0.5
conflict_tau_2p0,0.2838650501999922,0.33819555413365826,0.9805815324711501,0.6112592254186083,0.38327923323158675,0.29381449722700037,0.23540723762084892,0.27542607513232525,-0.11470302467329,0.7968810776005005,0.125,0.3971349733938624,0.19049402106013832,0.25,0.0
physics_conflict_tau_2p0,0.5156795768015789,0.6193122882389566,0.48001646430223216,0.7185164204665949,0.8312853832549798,0.16342832370093321,0.020786731949585566,0.446288183693712,-0.4226666017636125,0.8582765410875298,0.5,0.04012004783357677,0.2867365995682897,0.5,0.5
