method,min_weight,max_weight,mean_weight,std_weight,effective_sample_size,class_0_total,class_1_total
uniform,0.125,0.125,0.125,0.0,8.0,0.5,0.5
conflict_tau_0p5,0.11882337975205552,0.13407667960450054,0.125,0.005017306632255738,7.98713196831569,0.5097998696659093,0.4902001303340907
physics_conflict_tau_0p5,0.023139365128236437,0.36294714217289226,0.12499999999999999,0.14122859228645213,3.5141464501935067,0.2188739128082059,0.7811260871917941
conflict_tau_1p0,0.1127702809231908,0.14358112521778316,0.125,0.010163612514266545,7.947458262733619,0.520111462202098,0.479888537797902
physics_conflict_tau_1p0,0.022440685815898514,0.3594021924444332,0.12499999999999999,0.14003807615814895,3.547542181950049,0.2281577578408324,0.7718422421591675
conflict_tau_2p0,0.1010689096438358,0.1638411398894361,0.12499999999999999,0.020823483403216332,7.7839826686968925,0.5421752645385909,0.457824735461409
physics_conflict_tau_2p0,0.021043279615828598,0.3513689105037633,0.125,0.1376287426805673,3.616200144944435,0.2485445438182667,0.7514554561817333
