method,status,source_norm,global_mmd_delta,aggregate_physics_delta,2rdm_delta,mx_error_delta,mz2_error_delta,class_separation_delta,mean_realization_objective_delta,median_realization_objective_delta,worst_realization_objective_delta,fraction_realizations_improved,same_class_damage,between_class_damage,class_0_objective_delta,class_1_objective_delta
global_mmd,evaluated,0.25259045802783114,-0.0008868277836035499,-0.0005309214660457334,-0.0032707782212145764,0.0007833892983904328,-0.0018452322304818788,6.561488876649646e-05,-0.0008868277836035637,-0.004781798237064788,0.01242962873961248,0.625,0.0033596015205535554,0.005018317234730563,0.005018317234730563,-0.006791972801937718
2rdm,evaluated,0.259481733590818,-0.0006326277458201246,-0.00262637315954016,-0.009093728061161294,-0.002884356284299644,-0.0023683900347806763,0.004003108676067679,-0.0006326277458201003,0.004823129250524333,0.018426479520167127,0.375,0.006776820200361727,0.0033360717634452475,0.0033360717634452475,-0.004601327255085497
conflict_tau_1p0,evaluated,0.2664855874720146,-0.0005691285993889017,-0.0004476596301078578,-0.0032990620693973405,0.0010381395201743693,-0.0019334587803900988,3.471476332517209e-05,-0.0005691285993889243,-0.0019420824707255674,0.014701587722567605,0.5,0.0032604831980366233,0.0038603624238252032,0.0038603624238252032,-0.004998619622603007
physics_conflict_tau_1p0,evaluated,0.5171964300256139,0.006932917381773929,-0.0020158554592415723,-0.0016425242393222628,-0.00415406424922618,0.00012235333074302884,-0.0024994598810593183,0.006932917381773939,0.018050075212866765,0.04340625882710286,0.375,0.016982185330700138,0.018241113427642786,0.018241113427642786,-0.004375278664094928
