dataset,epsilon,synthetic_id,source_state_id,source_dataset,source_split,source_class,source_g,augmentation_method,generator,operator,perturbation_strength,random_seed,norm,purity,source_fidelity,nearest_train_fidelity,nearest_same_class_train_fidelity,nearest_other_class_train_fidelity,energy,source_energy,energy_drift,energy_drift_absolute,magnetization_x,magnetization_z2,magnetization_x_drift,magnetization_z2_drift,accepted
random,0.0,syn-fe5b75fc21774f65,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,field,0.0,7000,0.9999999999999998,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.6075137178327691,-3.144409289092482,-3.144409289092482,0.0,0.0,0.2523914111753475,0.9497018015390943,0.0,0.0,True
random,0.1,syn-072efaa91d4f3405,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,field,0.1,7001,0.9999999999999994,0.9999999999999989,0.9971414507825495,0.9971414507825488,0.9971414507825488,0.6060010479597892,-3.1364518767399963,-3.144409289092482,0.007957412352485704,0.007957412352485704,0.25239141117534747,0.947812787412778,-5.551115123125783e-17,-0.0018890141263163684,True
random,0.2,syn-47541c6cda0bacf4,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,field,-0.2,7002,0.9999999999999999,0.9999999999999998,0.9886118603077454,0.9886118603077454,0.9886118603077454,0.601483323382488,-3.1126591475163985,-3.144409289092482,0.03175014157608347,0.03175014157608347,0.2523914111753476,0.9421646194385549,5.551115123125783e-17,-0.007537182100539441,True
random,0.4,syn-432682b487d3842a,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,field,-0.4,7003,0.9999999999999993,0.9999999999999987,0.9551751340182826,0.9551868440977853,0.9551868440977853,0.5837134423559889,-3.01867450073942,-3.144409289092482,0.12573478835306195,0.12573478835306195,0.25239141117534747,0.9198535568023314,-5.551115123125783e-17,-0.029848244736762952,True
random,0.8,syn-2d61c163333fb6a0,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,field,-0.8,7004,0.9999999999999996,0.9999999999999991,0.8317755660265004,0.8322835639743981,0.8322835639743981,0.5172518492173284,-2.6613208941039335,-3.144409289092482,0.4830883949885485,0.4830883949885485,0.2523914111753476,0.8350212041326014,5.551115123125783e-17,-0.11468059740649295,True
random,0.0,syn-f07ae07a85461daa,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,interaction,0.0,7100,0.9999999999999998,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.6075137178327691,-3.144409289092482,-3.144409289092482,0.0,0.0,0.2523914111753475,0.9497018015390943,0.0,0.0,True
random,0.1,syn-83d001aa79529011,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,interaction,0.1,7101,1.0,1.0,0.999539209591294,0.9995392095912938,0.9995392095912938,0.6064982387358779,-3.143127322710833,-3.144409289092482,0.0012819663816490134,0.0012819663816490134,0.25132691847225713,0.9497018015390944,-0.0010644927030903917,1.1102230246251565e-16,True
random,0.2,syn-0b748ba0a9511232,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,interaction,-0.2,7102,0.9999999999999998,0.9999999999999996,0.9981625860755241,0.9981625860755241,0.9981625860755241,0.6034668289972758,-3.1392984890376328,-3.144409289092482,0.005110800054849207,0.005110800054849207,0.24814761083610828,0.9497018015390941,-0.00424380033923924,-2.220446049250313e-16,True
random,0.4,syn-15ec85dbfe92f0ef,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,interaction,-0.4,7103,0.9999999999999998,0.9999999999999996,0.9927414597420239,0.9929171352877726,0.9929171352877726,0.5915639661841929,-3.124236920024075,-3.144409289092482,0.020172369068407026,0.020172369068407026,0.23564109698245578,0.9497018015390943,-0.016750314192891747,0.0,True
random,0.8,syn-d5f8d6ea5d795b61,class-0-00001,random,train,0,0.30107448785896784,state_local_physics,spectral_norm_normalized,interaction,-0.8,7104,0.9999999999999998,0.9999999999999996,0.9723708380729219,0.9749327009635216,0.9749327009635216,0.547356010872029,-3.067914006297493,-3.144409289092482,0.07649528279498918,0.07649528279498918,0.18887284195102522,0.9497018015390942,-0.06351856922432231,-1.1102230246251565e-16,True
random,0.0,syn-8805a499ad46a624,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,field,0.0,17000,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9510700906844103,-4.105256546633768,-4.105256546633768,0.0,0.0,0.705833876573297,0.6569085351129287,0.0,0.0,True
random,0.1,syn-b20ec4d48f8dc5f4,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,field,-0.1,17001,0.9999999999999999,0.9999999999999998,0.9977760050721116,0.9977760050721121,0.9977760050721121,0.9495369775858066,-4.097856550684022,-4.105256546633768,0.007399995949746163,0.007399995949746163,0.7058338765732969,0.6554845043315881,-1.1102230246251565e-16,-0.0014240307813405684,False
random,0.2,syn-0436df9bcb6cc89c,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,field,-0.2,17002,0.9999999999999997,0.9999999999999993,0.9911326162874174,0.9911326162874174,0.9911326162874174,0.9449560779267475,-4.075730501148197,-4.105256546633768,0.029526045485571473,0.029526045485571473,0.7058338765732968,0.6512266404324117,-2.220446049250313e-16,-0.005681894680516941,False
random,0.4,syn-eaf7b8644c8124c0,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,field,-0.4,17003,0.9999999999999998,0.9999999999999996,0.9649836978105502,0.9649836978105506,0.9649836978105506,0.9269066124609819,-3.988329474950171,-4.105256546633768,0.11692707168359728,0.11692707168359728,0.7058338765732968,0.6344074756015188,-2.220446049250313e-16,-0.022501059511409904,False
random,0.8,syn-93c6941bd59026ba,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,field,0.8,17004,0.9999999999999999,0.9999999999999998,0.8669198493692128,0.8669198493692128,0.8669198493692128,0.8589443514787465,-3.6560084735250924,-4.105256546633768,0.44924807310867587,0.44924807310867587,0.7058338765732969,0.5704567196107142,-1.1102230246251565e-16,-0.08645181550221448,False
random,0.0,syn-67d86d21f551d301,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,interaction,0.0,17100,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9510700906844103,-4.105256546633768,-4.105256546633768,0.0,0.0,0.705833876573297,0.6569085351129287,0.0,0.0,True
random,0.1,syn-7057876b77bbb1d3,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,interaction,0.1,17101,1.0,1.0,0.9975591195294237,0.9975591195294237,0.9975591195294237,0.9483845134570873,-4.097135207759392,-4.105256546633768,0.008121338874376605,0.008121338874376605,0.7032501414090314,0.6569085351129286,-0.002583735164265577,-1.1102230246251565e-16,False
random,0.2,syn-ba76b018be9d1c96,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,interaction,-0.2,17102,1.0000000000000002,1.0000000000000004,0.9902748452115316,0.9902748452115316,0.9902748452115316,0.9403718614767156,-4.0728793019893486,-4.105256546633768,0.03237724464441971,0.03237724464441971,0.6955333304683011,0.6569085351129289,-0.010300546104995867,2.220446049250313e-16,True
random,0.4,syn-6b7f9c597351b1ac,class-0-00005,random,train,0,0.7858137887640019,state_local_physics,spectral_norm_normalized,interaction,0.4,17103,1.0,1.0,0.9617059698809055,0.9617059698809053,0.9617059698809053,0.9089738054251786,-3.977463300688701,-4.105256546633768,0.12779324594506747,0.12779324594506747,0.6651775379558261,0.6569085351129288,-0.040656338617470866,1.1102230246251565e-16,True
