dataset,operator,accepted_nonzero,sources_covered,mean_pairwise_fidelity,diversity_one_minus_mean_fidelity,mean_source_conditioned_pairwise_fidelity,source_conditioned_diversity
blocked,field,40,17,0.8064210528084288,0.1935789471915712,0.9831070370917305,0.01689296290826947
blocked,interaction,33,17,0.843030302447096,0.15696969755290402,0.9780819644501947,0.021918035549805315
random,field,50,16,0.7497258240537377,0.25027417594626233,0.9486514871427422,0.05134851285725783
random,interaction,40,18,0.8094481537271384,0.1905518462728616,0.9606561518733364,0.03934384812666358
