dataset,source_state_id,source_g,fidelity,one_minus_fidelity
random,class-0-00001,0.30107448785896784,1.0000000000000004,-4.440892098500626e-16
random,class-0-00005,0.7858137887640019,0.9999999999999993,6.661338147750939e-16
random,class-0-00013,0.6117554672807776,0.9999999999999976,2.4424906541753444e-15
random,class-0-00046,0.6265761910988407,0.9999999999999976,2.4424906541753444e-15
random,class-0-00066,0.20632229748232556,1.0,0.0
random,class-0-00068,0.2883117288059418,1.0000000000000018,-1.7763568394002505e-15
random,class-0-00081,0.23832256910773994,0.9999999999999996,4.440892098500626e-16
random,class-0-00125,0.2265828901251097,0.9999999999999993,6.661338147750939e-16
random,class-0-00138,0.43370360156345455,1.0000000000000004,-4.440892098500626e-16
random,class-0-00191,0.21113685663415124,0.9999999999999993,6.661338147750939e-16
random,class-1-00015,1.3791584376385642,1.0000000000000004,-4.440892098500626e-16
random,class-1-00018,1.4432934858265432,0.9999999999999962,3.774758283725532e-15
random,class-1-00034,1.2840912832649163,1.0000000000000009,-8.881784197001252e-16
random,class-1-00115,1.3774725938868877,1.0000000000000018,-1.7763568394002505e-15
random,class-1-00136,1.254370575274811,1.0000000000000022,-2.220446049250313e-15
random,class-1-00157,1.4322411054119797,1.0000000000000009,-8.881784197001252e-16
random,class-1-00158,1.6792137778759553,1.0000000000000013,-1.3322676295501878e-15
random,class-1-00182,1.4802601613073365,1.0000000000000004,-4.440892098500626e-16
random,class-1-00191,1.4009703719824187,1.0000000000000018,-1.7763568394002505e-15
random,class-1-00193,1.6831578009732509,1.0000000000000004,-4.440892098500626e-16
blocked,class-0-00001,0.266035332067859,1.0,0.0
blocked,class-0-00004,0.5184497755663161,0.9999999999999993,6.661338147750939e-16
blocked,class-0-00011,0.2633085039263183,0.9999999999999989,1.1102230246251565e-15
blocked,class-0-00030,0.33101793112585887,1.0000000000000004,-4.440892098500626e-16
blocked,class-0-00043,0.4420051075394415,0.9999999999999976,2.4424906541753444e-15
blocked,class-0-00045,0.30132240180728864,0.9999999999999989,1.1102230246251565e-15
blocked,class-0-00052,0.5083281360574561,0.999999999999998,1.9984014443252818e-15
blocked,class-0-00086,0.4489232471567867,1.0000000000000004,-4.440892098500626e-16
blocked,class-0-00093,0.38329788105583745,1.0,0.0
blocked,class-0-00134,0.5512965146415115,1.0000000000000027,-2.6645352591003757e-15
blocked,class-1-00011,1.3456156882532924,1.0,0.0
blocked,class-1-00012,1.346090704912023,1.0000000000000027,-2.6645352591003757e-15
blocked,class-1-00022,1.4573748032984857,0.9999999999999982,1.7763568394002505e-15
blocked,class-1-00077,1.479329057572701,1.0,0.0
blocked,class-1-00095,1.3961914916267568,1.0,0.0
blocked,class-1-00106,1.2997971876489924,0.9999999999999962,3.774758283725532e-15
blocked,class-1-00107,1.224023399457081,0.9999999999999996,4.440892098500626e-16
blocked,class-1-00125,1.3561641415070051,0.999999999999998,1.9984014443252818e-15
blocked,class-1-00133,1.3435025162299623,0.9999999999999989,1.1102230246251565e-15
blocked,class-1-00135,1.5043931146559029,1.0000000000000053,-5.329070518200751e-15
