dataset,method,augmentation_ratio,runs,train_real_accuracy_mean,train_real_accuracy_std,train_real_macro_f1_mean,train_real_macro_f1_std,train_real_loss_mean,train_real_loss_std,train_augmented_accuracy_mean,train_augmented_accuracy_std,train_augmented_macro_f1_mean,train_augmented_macro_f1_std,train_augmented_loss_mean,train_augmented_loss_std,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,validation_loss_mean,validation_loss_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_loss_mean,test_loss_std,train_validation_accuracy_gap_mean
random,real_only,0,3,0.9499999999999998,1.1102230246251565e-16,0.9498746867167919,1.1102230246251565e-16,0.34766990751858406,0.02572991822772112,0.9499999999999998,1.1102230246251565e-16,0.9498746867167919,1.1102230246251565e-16,0.34766990751858406,0.02572991822772112,0.9388888888888888,0.007856742013183832,0.9386487050960736,0.007937967729485568,0.4122389159155601,0.021021810824714948,0.9222222222222222,0.007856742013183886,0.9217345154845153,0.007991154307864982,0.4115336753467383,0.021364336367973788,0.011111111111111072
random,state_local_physics,0.5,3,0.9499999999999998,1.1102230246251565e-16,0.9498746867167919,1.1102230246251565e-16,0.34439013616142594,0.0342050413107997,0.9666666666666667,0.0,0.9666295884315907,0.0,0.3651339913189046,0.03608971144931364,0.9444444444444443,0.007856742013183834,0.9442616959064326,0.007937967729485568,0.40847662081420616,0.02908459825292566,0.9222222222222222,0.007856742013183886,0.9217345154845155,0.007991154307864982,0.407944446405365,0.02942166895769492,0.005555555555555536
random,state_local_physics,1,3,0.9499999999999998,1.1102230246251565e-16,0.9498746867167919,1.1102230246251565e-16,0.36040334679768965,0.017757155883387304,0.975,0.0,0.9749843652282677,0.0,0.3742755970858127,0.018822444676996813,0.9499999999999998,1.1102230246251565e-16,0.9498746867167919,1.1102230246251565e-16,0.4238947360337016,0.018643741173560692,0.9500000000000001,0.023570226039551608,0.9497810309823658,0.0238274584511161,0.4241434529344393,0.01889295134812032,0.0
random,state_local_physics,2,3,0.9499999999999998,1.1102230246251565e-16,0.9498746867167919,1.1102230246251565e-16,0.378214335456647,0.04312494545190713,0.9722222222222222,0.01571348402636772,0.9721773638504895,0.01577037423985162,0.38137025489945153,0.041993178913824286,0.9444444444444443,0.007856742013183834,0.9442616959064326,0.007937967729485568,0.44296043232790083,0.041235782794087454,0.9166666666666666,0.01360827634879543,0.9160365097865099,0.01389918631448062,0.44299125337884987,0.041370191471310075,0.005555555555555536
blocked,real_only,0,3,1.0,0.0,1.0,0.0,0.355523465913818,0.04461096329922348,1.0,0.0,1.0,0.0,0.355523465913818,0.04461096329922348,1.0,0.0,1.0,0.0,0.5071369251991634,0.033117001160495145,0.9,0.07200822998230953,0.8976082740788623,0.07385278063404056,0.6190350815797254,0.020771432444747266,0.0
blocked,state_local_physics,0.5,3,1.0,0.0,1.0,0.0,0.34980437929293334,0.01960045860722084,1.0,0.0,1.0,0.0,0.34974975967081634,0.01829370823567391,1.0,0.0,1.0,0.0,0.527740225251722,0.02261002189921504,0.6888888888888888,0.13630937940428106,0.6256523266583629,0.20907477065337263,0.6501003226731686,0.02997229246556977,0.0
blocked,state_local_physics,1,3,1.0,0.0,1.0,0.0,0.38631191703007955,0.05546536333919524,1.0,0.0,1.0,0.0,0.3788647862549232,0.05632425635469279,1.0,0.0,1.0,0.0,0.5552637811854734,0.03380167937986352,0.6833333333333332,0.22484562605386735,0.589690003483107,0.2931294721173981,0.6681277062943982,0.029921481654608433,0.0
blocked,state_local_physics,2,3,1.0,0.0,1.0,0.0,0.389564648349908,0.04817904901098493,1.0,0.0,1.0,0.0,0.38294556753242154,0.049201777346708137,1.0,0.0,1.0,0.0,0.5574759734203634,0.03033667327509614,0.6833333333333332,0.22484562605386735,0.589690003483107,0.2931294721173981,0.6697261283009738,0.029050556967679202,0.0
