step,checkpoint,direction,derivative_global,class0_global,real00_global,real01_global,real02_global,real03_global,class1_global,real10_global,real11_global,real12_global,real13_global,derivative_2-rdm,class0_2-rdm,real00_2-rdm,real01_2-rdm,real02_2-rdm,real03_2-rdm,class1_2-rdm,real10_2-rdm,real11_2-rdm,real12_2-rdm,real13_2-rdm,derivative_physics,class0_physics,class1_physics
1,initial,0,0.023969133615376524,-0.12395669152460043,0.1923016604219689,0.03786710097912242,-0.3679596761144962,-0.4700984327699653,0.17189495875535274,0.2646290623008533,-0.009503554769897024,-0.1152241737144751,0.901529005057334,-0.08289910654256216,-0.3695924774051862,-0.6856888912643833,0.38185732922577287,-1.128516358712716,-0.6652466282155097,0.2037942643200615,0.4398574743408531,0.07805795236982549,-0.21576716141804936,1.077096389090014,-0.021940907800964693,-0.1397411181490981,0.09585930254716861
1,initial,1,-0.138330794171313,-0.06951077549304834,0.2964169748070115,0.06105247633262294,-0.01314255686504599,-0.3371588037982831,-0.20715081284957693,-0.030870385244889942,-0.05464831619550618,-0.4722341046228892,-0.07925545889289065,0.43427438224530696,0.7372423217400733,0.730680358996327,0.18076434430251717,1.137824148819396,0.3974609262701453,0.1313064427505406,0.4713755777317334,-0.04493101449439596,-0.2898758638723272,0.44271826815292925,0.08705879666680442,0.1874760264971508,-0.013358433163542054
1,initial,2,-0.019356097494049873,0.15675924857943446,0.3582314200663069,0.9587485576533424,-0.2436732707746699,0.1056731102698727,-0.1954714435675335,-0.16034564277556712,0.008737083249181765,-0.510056673967639,0.12003560177805017,0.531942226829411,1.0476155468068657,0.811964750036267,1.620506653463103,0.9671732806409583,1.1198623000468844,0.016268906851955776,0.142564480450141,-0.019480811316692957,-0.871894565061507,0.5945163413848602,0.1086503575615024,0.3598805686610381,-0.14257985353803349
1,initial,3,0.1392869379979119,0.347182564136083,0.19881764550644018,0.6142090947478115,0.11604882537487926,0.43873789531084934,-0.06860868814025922,0.0029222429389215896,-0.46897807426840615,0.2065015442243216,-0.05507080023207249,-0.3663450965299816,-0.40742713169195055,-0.5938341431364732,-0.11834023534654274,-0.21488450866103737,-0.6237221259450121,-0.32526306136801264,0.4279879173362374,-0.9788909278365991,0.7866437899094003,-1.00440166561101,-0.05574882760867299,-0.10832620280620926,-0.0031714524111368476
1,initial,4,0.05194805342320382,-0.4316790245950064,-0.5932080085866409,-0.2946697052085301,0.05541520331308133,-0.6450099652924942,0.5355751314414148,0.42016839575184617,0.6541915304272136,0.481751847689705,0.09287034807020644,0.004874343563027554,-0.4341571833435365,-0.14368954677358364,-0.2116656470090935,-0.8266987815391177,-0.3211064778838783,0.44390587046959123,-0.21083382561451147,0.7557086720605171,0.8510257335144471,-0.03418782270196097,0.03624956757355784,-0.16481650957849964,0.23731564472561512
1,initial,5,0.3359921145113772,-0.06715454506281009,0.3154997698551565,-0.546208117181326,0.19533042205271522,-0.3592115614080149,0.7391387740855645,0.4840630163537404,0.8123757352613259,0.8273005174147812,0.48303119572279174,0.21321575977292156,-0.19165785422584403,-0.2642223962686267,-0.6721719633631422,0.35401283954463886,-0.621808241627904,0.6180893737716872,0.16073157664527957,0.7655467991790887,0.6748481442990983,0.2632887668241368,0.12804537498005403,-0.05817269379355006,0.3142634437536581
1,initial,6,0.005838465130055445,-0.32414433870410136,-0.18173456853704048,-0.39099437749814836,0.23258121069804627,-0.35824603987456277,0.3358212689642115,0.4412880183069098,0.3673419811082712,-0.09387033640426479,0.22800237634077386,0.22614803584277143,0.554529407621065,0.7907071210211141,0.7706590238690596,0.006761173344319952,0.8316361357095122,-0.10223333593552208,-0.12219319109298891,0.07228045040308681,-1.2050992730023857,0.16936972728501293,0.06277061436154938,0.2239569006187761,-0.09841567189567746
1,initial,7,-0.3294650888852191,-0.17109200441846126,-0.5779635040593711,0.6847385041951282,-0.21786106145336825,-0.3648145428588571,-0.48783817335197693,-0.4390869732485777,-0.617335765060562,-0.22580108615944358,-0.2996106645044083,-0.6025937748686272,-0.1855588063786573,-0.4663667652642852,0.9841242353020552,-0.6208595664750116,-0.029158427342006098,-1.019628743358597,-1.340644845209024,-1.3228544481666404,-0.9698005785673258,-0.24299162257334456,-0.37182380286063577,-0.06319754439598305,-0.6804500613252884
1,initial,8,0.16207909678120247,0.257106516447676,0.48977898197335595,0.05825485072893155,-0.007028827419665411,0.20995756698632445,0.06705167711472892,-0.1321917771615322,0.2045972300778069,0.5323500854876236,-0.46138302178478624,-0.025770421130696018,-0.29652436088405215,0.336821280027592,-1.0557896159929825,0.29848940221429776,-0.3686352429495695,0.2449835186226605,-0.1147390335681157,0.3343978425769434,1.13894985801792,0.23171364817353712,0.05154860080549162,-0.09229436874544805,0.19539157035643148
1,initial,9,-0.009202370399172082,0.08110463448980662,0.3627646253098364,-0.06808894881666769,0.0013319588248187724,-0.38296264084271375,-0.09950937528815078,-0.13588281714886613,-0.14351220750846347,0.07655689713573186,-0.4682621758310187,-0.26682826420864614,-0.32068010565476424,-0.12001948631625552,-0.34734319312212936,-0.3770614497518884,-0.16679825113772567,-0.21297642276252823,-0.7810839528087884,0.07814972833682265,-0.7965096193477827,0.1157674874007982,-0.10735678242381938,-0.10150569553123107,-0.11320786931640774
