step,checkpoint,kernel,count,min_raw,below_zero_count,below_zero_fraction,below_neg1e8_count,below_neg1e8_fraction,clipped_count,clipped_fraction,gram_min_eigenvalue
1,initial,global,5200,0.6079721343305355,0,0.0,0,0.0,0,0.0,-4.16540982122303e-15
1,initial,2-rdm,5200,0.23726288810157503,0,0.0,0,0.0,0,0.0,-8.885550105738316e-15
1,best,global,5200,0.1673915539652484,0,0.0,0,0.0,0,0.0,-3.628074743329989e-15
1,best,2-rdm,5200,0.1692438511190233,0,0.0,0,0.0,0,0.0,-3.628489494384439e-15
2,initial,global,5200,0.4305841941557671,0,0.0,0,0.0,0,0.0,-3.575608949694898e-15
2,initial,2-rdm,5200,0.2538599384968121,0,0.0,0,0.0,0,0.0,-4.992652387283791e-15
2,best,global,5200,0.27051234153985687,0,0.0,0,0.0,0,0.0,-3.900644095195411e-15
2,best,2-rdm,5200,0.15249599082881837,0,0.0,0,0.0,0,0.0,-6.459937340983271e-15
