name,T,L,iterations,optimizer,source_mode,labels,runtime_seconds,initial_loss,final_loss,best_loss,parameter_update_norm,physics_error
iteration_progression,1,3,8,spsa,teacher_forced,"[0, 1]",0.20217917097033933,1.964973550126195,1.6778532251978242,1.6778532251978242,2.294405964888857,0.45543400449888227
iteration_progression,1,3,8,spsa,haar,"[0, 1]",0.11442406103014946,1.9688251455061638,1.7562246308753795,1.756222568345866,1.905669676696015,0.5759840891487917
iteration_progression,1,3,32,spsa,teacher_forced,"[0, 1]",0.3908232739777304,1.964973550126195,1.5235002513307188,1.2871138638381288,3.519431164816809,0.4380372558818208
iteration_progression,1,3,32,spsa,haar,"[0, 1]",0.3811850579804741,1.9688251455061638,1.488467266115033,1.488467266115033,2.6515796209467672,0.6999504394842182
iteration_progression,1,3,128,spsa,teacher_forced,"[0, 1]",1.4660935340216383,1.964973550126195,0.6195422184404029,0.6195422184404029,4.660663299874161,0.1682949867685596
iteration_progression,1,3,128,spsa,haar,"[0, 1]",1.4727432370418683,1.9688251455061638,0.6917235083669133,0.6917235083669133,3.2784869131890955,0.3642378717666638
iteration_progression,1,3,512,spsa,teacher_forced,"[0, 1]",5.766186366963666,1.964973550126195,0.24363829056113406,0.24363829056113406,4.969679331937613,0.1415284619911164
iteration_progression,1,3,512,spsa,haar,"[0, 1]",5.767917398014106,1.9688251455061638,0.23208444267791206,0.2108686866466315,3.8973512056663373,0.07912320628562858
capacity_progression,1,1,128,spsa,teacher_forced,"[0, 1]",0.5354911949834786,1.9058091892078362,0.9273647488372955,0.9273647488372955,3.0685489640960877,0.06399713976976842
capacity_progression,1,1,128,spsa,haar,"[0, 1]",0.5358173070126213,1.9580188409775094,1.2271232391082978,1.2271232391082978,2.4155463099666625,0.5191760376166343
capacity_progression,1,6,128,spsa,teacher_forced,"[0, 1]",2.837180698988959,1.4178325628638762,1.015704349913026,0.9629811746911237,10.003593660280528,0.28812698614535426
capacity_progression,1,6,128,spsa,haar,"[0, 1]",2.8365537730278447,1.8805460924361173,0.8608790082799844,0.8608790082799844,6.731930788411135,0.12631300603769458
single_class_ablation,1,3,128,spsa,teacher_forced,[0],0.7403943850076757,1.9950129365865825,1.003244581359104,0.6929427306236002,5.393331912338005,0.12949989291660877
single_class_ablation,1,3,128,spsa,haar,[0],0.730091440025717,1.9890348985478397,0.5827586853112723,0.372147647755785,5.952889583181886,0.1271796073270639
single_class_ablation,1,3,128,spsa,teacher_forced,[1],0.7306990909855813,1.8193671320183546,0.29640203278079946,0.29640203278079946,6.372564569291585,0.09228128975322228
single_class_ablation,1,3,128,spsa,haar,[1],0.729928283020854,1.9427442277820568,0.17896069803146886,0.17896069803146886,6.971269878358738,0.047966702212678514
optimizer_control,1,3,2,lbfgs,teacher_forced,"[0, 1]",1.247397141996771,1.964973550126195,1.84239384333485,1.84239384333485,7.325199838758445,0.5675770189717506
