group,class,kernel,mmd,physics_error,generated_Mx,target_Mx,generated_Mz2,target_Mz2
seen/isolated_step_1,0,global,0.2322520051456094,0.17295095574138544,0.11360757960130179,0.1820788460902527,0.6957824875674979,0.9732131325613179
seen/isolated_step_1,0,1-rdm,0.014897782822901329,0.17295095574138544,0.11360757960130179,0.1820788460902527,0.6957824875674979,0.9732131325613179
seen/isolated_step_1,0,2-rdm,0.21307070249427484,0.17295095574138544,0.11360757960130179,0.1820788460902527,0.6957824875674979,0.9732131325613179
seen/isolated_step_1,1,global,0.4615424772963136,0.3008770126314017,0.4004429113995408,0.8838413836155475,0.34986722108744656,0.46822277413424324
seen/isolated_step_1,1,1-rdm,0.16785014184019809,0.3008770126314017,0.4004429113995408,0.8838413836155475,0.34986722108744656,0.46822277413424324
seen/isolated_step_1,1,2-rdm,0.3284754735204456,0.3008770126314017,0.4004429113995408,0.8838413836155475,0.34986722108744656,0.46822277413424324
seen/isolated_step_2,0,global,0.6254137277273295,0.3034258204168896,-0.04522055908943757,0.15171971256547928,0.355395939384767,0.7653073085636293
seen/isolated_step_2,0,1-rdm,0.04113606234771261,0.3034258204168896,-0.04522055908943757,0.15171971256547928,0.355395939384767,0.7653073085636293
seen/isolated_step_2,0,2-rdm,0.3525737884380513,0.3034258204168896,-0.04522055908943757,0.15171971256547928,0.355395939384767,0.7653073085636293
seen/isolated_step_2,1,global,0.27469420500895836,0.1400669985467582,0.21356684173190477,0.4433096265996247,0.3075970961883969,0.3579883084141934
seen/isolated_step_2,1,1-rdm,0.09164216817728743,0.1400669985467582,0.21356684173190477,0.4433096265996247,0.3075970961883969,0.3579883084141934
seen/isolated_step_2,1,2-rdm,0.19904535726744754,0.1400669985467582,0.21356684173190477,0.4433096265996247,0.3075970961883969,0.3579883084141934
seen/rollout_step_2,0,global,0.6074553888370547,0.2869337488572772,-0.03573255868226627,0.1541427551320979,0.37834122572965473,0.7623334096298449
seen/rollout_step_2,0,1-rdm,0.039736558762847096,0.2869337488572772,-0.03573255868226627,0.1541427551320979,0.37834122572965473,0.7623334096298449
seen/rollout_step_2,0,2-rdm,0.3280827326641307,0.2869337488572772,-0.03573255868226627,0.1541427551320979,0.37834122572965473,0.7623334096298449
seen/rollout_step_2,1,global,0.2890894547452819,0.14072758045577774,0.20171698025515855,0.4389197438399941,0.3121754886781797,0.3564278860048996
seen/rollout_step_2,1,1-rdm,0.09990435094810635,0.14072758045577774,0.20171698025515855,0.4389197438399941,0.3121754886781797,0.3564278860048996
seen/rollout_step_2,1,2-rdm,0.21290765674544354,0.14072758045577774,0.20171698025515855,0.4389197438399941,0.3121754886781797,0.3564278860048996
seen/rollout_step_1,0,global,1.017613437518869,0.3879628593157128,0.030116489462479884,0.1820788460902527,0.34924977055766515,0.9732131325613179
seen/rollout_step_1,0,1-rdm,0.025810803247294567,0.3879628593157128,0.030116489462479884,0.1820788460902527,0.34924977055766515,0.9732131325613179
seen/rollout_step_1,0,2-rdm,0.620898047698885,0.3879628593157128,0.030116489462479884,0.1820788460902527,0.34924977055766515,0.9732131325613179
